22bda7d2fee71d26eb54ae868645e055d4b453e9|2026-04-01 21:59:55 +0800|feat(minion-executor): Improve agent context frontloading and tool capabilities
aac0d5559c7171d81ced7891992a0e98841df07e|2026-03-28 20:49:46 +0800|feat: multi-project support with per-project gate commands
de9ba0eed11734c181b2f0d6d43b13451c90d1fc|2026-03-28 20:34:34 +0800|fix: bump max_iterations from 20 to 40 for complex tickets
838b7b259ea52babc9f57f146c894a9d102fb5d1|2026-03-28 20:10:35 +0800|fix: auto-inject line_hint on duplicate anchor failure
35f39847344ec20d83912bdb1fd8cd790f7ee354|2026-03-28 19:43:35 +0800|fix: git commit serialization + line_hint anchor disambiguation
c236cd3da90066ad624f78e62e47b74ea34ce0c2|2026-03-28 16:25:13 +0800|feat: metrics DB, file lock registry, executor robustness, ticket UI
fded1876621cf0d9606c1f03ac5b3ebcf9b55170|2026-03-27 11:43:08 +0800|feat(minion-fix): Replace single-pass with iterative time-budgeted cycle
a7b3d6e8c0a32a9d79e72b7adc0f0bed845ade1c|2026-03-27 11:30:21 +0800|feat(minion-detect): Add 7 Tier 0 deterministic quality detectors
470b07e22b474a0b5252d3cc147f51939f720642|2026-03-26 15:52:56 +0800|fix(minion): pass MCP client to gates in GLM executor for verification
90e268273cce61905eeba791485a5d7b22d1690e|2026-03-26 15:45:02 +0800|refactor(minion): move verification gate to gates.rs for all executors
faf98d7ca55e9501fcdc1ec8d798ea92e4fe2809|2026-03-26 15:38:27 +0800|feat(minion): verification gate, full context files, scope-filtered capture
2e8c1ad9d45b827046e70c498bcfc81816cf897b|2026-03-26 15:00:06 +0800|fix: restore types.ts, rewrite SwarmView + swarmStore, wire stats properly
01fbffdb0253e96a2acc197e6100964dce924ce1|2026-03-26 14:55:10 +0800|fix: add missing swarm types, fix swarmStore to Zustand, wire stats API
39aca2ec8064511d0709f208303bdd4677641a42|2026-03-25 19:46:26 +0800|feat(minion): Phases 3-6 — dispatcher, Codex/CC executors, WO API, escalation
6f0bfab21d263fc61cb95b40b293e2db063e288c|2026-03-25 15:08:35 +0800|fix(minion): auto-commit stages only diff files, skips pre-commit hooks
